[25-Oct-2016 16:58:29 America/Bogota] PHP Warning:  Variable passed to each() is not an array or object in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/controlador_consultas.php on line 1757
[25-Oct-2016 17:06:38 America/Bogota] PHP Notice:  Undefined variable: result in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/modelo_consultas.php on line 1120
[25-Oct-2016 17:06:38 America/Bogota] PHP Warning:  Variable passed to each() is not an array or object in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/controlador_consultas.php on line 1757
[25-Oct-2016 17:09:50 America/Bogota] PHP Notice:  Undefined variable: result in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/modelo_consultas.php on line 161
[25-Oct-2016 17:09:50 America/Bogota] PHP Warning:  Variable passed to each() is not an array or object in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/controlador_consultas.php on line 453
[25-Oct-2016 17:09:54 America/Bogota] PHP Notice:  Undefined variable: result in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/modelo_consultas.php on line 161
[25-Oct-2016 17:09:54 America/Bogota] PHP Warning:  Variable passed to each() is not an array or object in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/controlador_consultas.php on line 453
[25-Oct-2016 17:09:58 America/Bogota] PHP Notice:  Undefined variable: result in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/modelo_consultas.php on line 1120
[25-Oct-2016 17:09:58 America/Bogota] PHP Warning:  Variable passed to each() is not an array or object in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/controlador_consultas.php on line 1757
[25-Oct-2016 17:14:05 America/Bogota] PHP Notice:  Undefined variable: result in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/modelo_consultas.php on line 161
[25-Oct-2016 17:14:05 America/Bogota] PHP Warning:  Variable passed to each() is not an array or object in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/controlador_consultas.php on line 453
[25-Oct-2016 17:14:08 America/Bogota] PHP Notice:  Undefined variable: result in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/modelo_consultas.php on line 1120
[25-Oct-2016 17:14:08 America/Bogota] PHP Warning:  Variable passed to each() is not an array or object in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/controlador_consultas.php on line 1757
[25-Oct-2016 17:15:09 America/Bogota] PHP Notice:  Undefined variable: result in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/modelo_consultas.php on line 1120
[25-Oct-2016 17:15:09 America/Bogota] PHP Warning:  Variable passed to each() is not an array or object in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/controlador_consultas.php on line 1757
[25-Oct-2016 17:19:22 America/Bogota] PHP Notice:  Undefined variable: result in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/modelo_consultas.php on line 83
[25-Oct-2016 17:19:22 America/Bogota] PHP Warning:  Variable passed to each() is not an array or object in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/controlador_consultas.php on line 393
[25-Oct-2016 17:19:27 America/Bogota] PHP Notice:  Undefined variable: result in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/modelo_consultas.php on line 1120
[25-Oct-2016 17:19:27 America/Bogota] PHP Warning:  Variable passed to each() is not an array or object in /media/windows/Users/juanc_000/Downloads/sistemas/modelo/modelo_consultas/controlador_consultas.php on line 1757
